"MONTH","DAY_OF_MONTH","DAY_OF_WEEK","OP_UNIQUE_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_TIME","DEP_DELAY_NEW","DEP_DEL15","DEP_TIME_BLK","CRS_ARR_TIME","ARR_TIME","ARR_DELAY_NEW","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2,17,7,"AA","N896NN","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","2247",1.00,0.00,"2200-2259","2313","2332",19.00,"2300-2359",0.00,"",87.00,105.00,328.00,2,1.00,0.00,18.00,0.00,0.00,
2,18,1,"AA","N903AN","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","2331",45.00,1.00,"2200-2259","2313","2354",41.00,"2300-2359",0.00,"",87.00,83.00,328.00,2,15.00,0.00,0.00,0.00,26.00,
2,19,2,"AA","N905AN","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","2303",17.00,1.00,"2200-2259","2313","2349",36.00,"2300-2359",0.00,"",87.00,106.00,328.00,2,17.00,0.00,19.00,0.00,0.00,
2,20,3,"AA","N941AN","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","0009",83.00,1.00,"2200-2259","2313","0038",85.00,"2300-2359",0.00,"",87.00,89.00,328.00,2,0.00,0.00,2.00,0.00,83.00,
2,21,4,"AA","N913AN","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","2329",43.00,1.00,"2200-2259","2313","2351",38.00,"2300-2359",0.00,"",87.00,82.00,328.00,2,3.00,0.00,0.00,0.00,35.00,
2,22,5,"AA","N891NN","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","0006",80.00,1.00,"2200-2259","2313","0027",74.00,"2300-2359",0.00,"",87.00,81.00,328.00,2,74.00,0.00,0.00,0.00,0.00,
2,23,6,"AA","N946NN","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","2240",0.00,0.00,"2200-2259","2313","2307",0.00,"2300-2359",0.00,"",87.00,87.00,328.00,2,,,,,,
2,24,7,"AA","N913NN","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","2240",0.00,0.00,"2200-2259","2313","2302",0.00,"2300-2359",0.00,"",87.00,82.00,328.00,2,,,,,,
2,25,1,"AA","N907NN","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","2239",0.00,0.00,"2200-2259","2313","2310",0.00,"2300-2359",0.00,"",87.00,91.00,328.00,2,,,,,,
2,26,2,"AA","N200NV","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","0037",111.00,1.00,"2200-2259","2313","0046",93.00,"2300-2359",0.00,"",87.00,69.00,328.00,2,0.00,0.00,0.00,0.00,93.00,
2,27,3,"AA","N917NN","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","2241",0.00,0.00,"2200-2259","2313","2310",0.00,"2300-2359",0.00,"",87.00,89.00,328.00,2,,,,,,
2,28,4,"AA","N807NN","110",11057,"CLT","Charlotte, NC",10693,"BNA","Nashville, TN","2246","2248",2.00,0.00,"2200-2259","2313","2323",10.00,"2300-2359",0.00,"",87.00,95.00,328.00,2,,,,,,
2,5,2,"AA","N912AN","110",11057,"CLT","Charlotte, NC",12339,"IND","Indianapolis, IN","1654","1648",0.00,0.00,"1600-1659","1836","1812",0.00,"1800-1859",0.00,"",102.00,84.00,427.00,2,,,,,,
