MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2,17,7,AA,N896NN,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,2247,1,0,2200-2259,2313,2332,19,2300-2359,0,,87,105,328,2,1,0,18,0,0
2,18,1,AA,N903AN,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,2331,45,1,2200-2259,2313,2354,41,2300-2359,0,,87,83,328,2,15,0,0,0,26
2,19,2,AA,N905AN,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,2303,17,1,2200-2259,2313,2349,36,2300-2359,0,,87,106,328,2,17,0,19,0,0
2,20,3,AA,N941AN,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,9,83,1,2200-2259,2313,38,85,2300-2359,0,,87,89,328,2,0,0,2,0,83
2,21,4,AA,N913AN,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,2329,43,1,2200-2259,2313,2351,38,2300-2359,0,,87,82,328,2,3,0,0,0,35
2,22,5,AA,N891NN,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,6,80,1,2200-2259,2313,27,74,2300-2359,0,,87,81,328,2,74,0,0,0,0
2,23,6,AA,N946NN,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,2240,0,0,2200-2259,2313,2307,0,2300-2359,0,,87,87,328,2,,,,,
2,24,7,AA,N913NN,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,2240,0,0,2200-2259,2313,2302,0,2300-2359,0,,87,82,328,2,,,,,
2,25,1,AA,N907NN,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,2239,0,0,2200-2259,2313,2310,0,2300-2359,0,,87,91,328,2,,,,,
2,26,2,AA,N200NV,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,37,111,1,2200-2259,2313,46,93,2300-2359,0,,87,69,328,2,0,0,0,0,93
2,27,3,AA,N917NN,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,2241,0,0,2200-2259,2313,2310,0,2300-2359,0,,87,89,328,2,,,,,
2,28,4,AA,N807NN,110,11057,CLT,"Charlotte, NC",10693,BNA,"Nashville, TN",2246,2248,2,0,2200-2259,2313,2323,10,2300-2359,0,,87,95,328,2,,,,,
2,5,2,AA,N912AN,110,11057,CLT,"Charlotte, NC",12339,IND,"Indianapolis, IN",1654,1648,0,0,1600-1659,1836,1812,0,1800-1859,0,,102,84,427,2,,,,,
2,12,2,AA,N924NN,110,11057,CLT,"Charlotte, NC",12339,IND,"Indianapolis, IN",1654,1648,0,0,1600-1659,1836,1910,34,1800-1859,0,,102,142,427,2,0,0,34,0,0
2,1,5,AA,N907AN,111,12339,IND,"Indianapolis, IN",11057,CLT,"Charlotte, NC",622,620,0,0,0600-0659,814,914,60,0800-0859,0,,112,174,427,2,0,0,60,0,0
2,4,1,AA,N906NN,111,12339,IND,"Indianapolis, IN",11057,CLT,"Charlotte, NC",622,615,0,0,0600-0659,814,744,0,0800-0859,0,,112,89,427,2,,,,,
2,5,2,AA,N862NN,111,12339,IND,"Indianapolis, IN",11057,CLT,"Charlotte, NC",622,616,0,0,0600-0659,814,759,0,0800-0859,0,,112,103,427,2,,,,,
